# Grammar repo health for every parser in nvim-treesitter parsers.lua.
# Collected 2026-08-10 via: gh api repos/<slug>
# days_since_push is clamped at 0; see ROADMAP.md section 3.
parser	slug	days_since_push	stars	open_issues	archived
bibtex	latex-lsp/tree-sitter-bibtex	477	23	1	false
dhall	jbellerb/tree-sitter-dhall	483	7	0	false
rasi	Fymyte/tree-sitter-rasi	483	10	0	false
bp	ambroisie/tree-sitter-bp	494	2	0	false
typst	uben0/tree-sitter-typst	494	189	17	false
tiger	ambroisie/tree-sitter-tiger	513	3	0	false
styled	mskelton/tree-sitter-styled	530	6	1	false
leo	r001/tree-sitter-leo	557	2	0	false
facility	FacilityApi/tree-sitter-facility	572	1	0	false
jsonnet	sourcegraph/tree-sitter-jsonnet	576	21	4	false
gaptst	gap-system/tree-sitter-gaptst	590	3	0	false
kconfig	tree-sitter-grammars/tree-sitter-kconfig	595	6	2	false
luau	tree-sitter-grammars/tree-sitter-luau	595	7	6	false
puppet	tree-sitter-grammars/tree-sitter-puppet	595	8	3	false
hoon	urbit-pilled/tree-sitter-hoon	600	18	2	false
nasm	naclsn/tree-sitter-nasm	624	15	1	false
pug	zealot128/tree-sitter-pug	630	11	2	false
runescript	2004Scape/tree-sitter-runescript	641	4	0	false
idris	kayhide/tree-sitter-idris	642	13	1	false
vala	vala-lang/tree-sitter-vala	649	16	6	false
textproto	PorterAtGoogle/tree-sitter-textproto	662	4	0	false
eds	uyha/tree-sitter-eds	664	1	0	false
pioasm	leo60228/tree-sitter-pioasm	666	3	0	false
re2c	tree-sitter-grammars/tree-sitter-re2c	683	1	2	false
circom	Decurity/tree-sitter-circom	699	9	0	false
goctl	chaozwn/tree-sitter-goctl	725	3	1	false
systemtap	ok-ryoko/tree-sitter-systemtap	732	2	0	true
vrl	belltoy/tree-sitter-vrl	739	9	0	false
squirrel	tree-sitter-grammars/tree-sitter-squirrel	762	4	1	false
luap	tree-sitter-grammars/tree-sitter-luap	767	9	1	false
turtle	GordianDziwis/tree-sitter-turtle	768	12	2	false
ralph	alephium/tree-sitter-ralph	776	1	0	false
corn	jakestanger/tree-sitter-corn	784	5	1	false
graphql	bkegley/tree-sitter-graphql	793	33	8	false
ron	tree-sitter-grammars/tree-sitter-ron	826	7	1	false
smali	tree-sitter-grammars/tree-sitter-smali	826	10	3	false
tablegen	tree-sitter-grammars/tree-sitter-tablegen	826	4	0	false
uxntal	tree-sitter-grammars/tree-sitter-uxntal	826	2	0	false
bass	vito/tree-sitter-bass	828	2	0	false
